front,back,id,type,tier,hint,rule_ref
"When we spoke, I understood everything.","Cuando hablamos, comprendí todo.",L60-025,sentence,primary,*comprendí* signals past · same *hablamos*,"L60#3, L60#8, L60#10"
We spoke yesterday.,Hablamos ayer.,L60-026,sentence,primary,*ayer* clarifies past,"L60#3, L58#13"
We'll speak tomorrow.,Hablamos mañana.,L60-027,sentence,primary,present + *mañana* = future,L60#9
We didn't eat.,No comimos.,L60-030,sentence,primary,-er we-past → -imos,L60#5
We got lost.,Nos perdimos.,L60-031,sentence,primary,reflexive *nos* + -er we-past,L60#14
We always get lost.,Siempre nos perdemos.,L60-032,sentence,primary,*siempre* up front,L60#15
We didn't get lost yesterday.,No nos perdimos ayer.,L60-033,sentence,primary,,"L60#14, L58#13"
"We don't go out often, but we went out yesterday.","No salimos a menudo, pero salimos ayer.",L60-034,sentence,primary,"same form, two tenses · 11 words","L60#7, L60#16"
we waited,esperamos,L60-035,transformation,extended,-ar we-past = same as present,L60#3
we bought,compramos,L60-036,transformation,extended,-ar we-past = same as present,L60#3
we sent,enviamos,L60-037,transformation,extended,-ar we-past = same as present,L60#3
We ate yesterday.,Comimos ayer.,L60-039,sentence,extended,-er we-past differs from present,"L60#5, L58#13"
We saw him yesterday.,Lo vimos ayer.,L60-040,sentence,extended,,"L60#7, L58#13"
We didn't lose anything.,No perdimos nada.,L60-041,sentence,extended,-er we-past + double negative,"L60#7, L59#10"
We often get lost.,Nos perdemos a menudo.,L60-043,sentence,extended,,"L60#14, L60#16"
I am desperate.,Estoy desesperado.,L60-044,sentence,extended,*estar* for emotional state · -ado,"L60#11, L60#12"
It's no problem.,No es ningún problema.,L60-045,sentence,extended,*problema* is masc. despite -a ending,L60#12
We understood everything.,Comprendimos todo.,L60-046,sentence,primary,-er we-past → -imos,"L60#5, L60#10"
