front,back,id,type,tier,hint,rule_ref
I'm buying them now. (Los…),Los estoy comprando ahora.,L35-033,sentence,primary,ahora → -iendo,L35#14
I'm buying them now. (Estoy…),Estoy comprándolos ahora.,L35-034,sentence,primary,glued + accent (preserves stress),"L35#14, L34#12"
He is sincere.,Es sincero.,L35-035,sentence,extended,,L35#2
They are being sincere.,Están siendo sinceros.,L35-037,sentence,extended,,L35#4
They are leaving next week.,Salen la semana que viene.,L35-039,sentence,extended,future → present,L35#12
We are leaving soon.,Salimos pronto.,L35-040,sentence,extended,,L35#7
He's buying them soon.,Los compra pronto.,L35-041,sentence,extended,,"L35#11, L35#7"
with them,con ellos,L36-001,transformation,primary,literally *with they*,L36#2
to find / to encounter,encontrar,L36-004,transformation,primary,regular -ar in future,L36#5
to remain / to stay,quedar,L36-005,transformation,primary,reflexive *me* for *stay*,L36#13
to recommend,recomendar,L36-006,transformation,primary,past part. = recomendado,L36#12
I will eat.,Comeré.,L36-027,sentence,primary,,L36#7
We will eat.,Comeremos.,L36-028,sentence,primary,,L36#7
I will go.,Iré.,L36-030,sentence,primary,,L36#9
They will go to Iran.,Irán a Irán.,L36-032,sentence,primary,verb form = country name,L36#10
Will you go?,¿Irás?,L36-033,sentence,primary,,L36#11
Won't you go?,¿No irás?,L36-034,sentence,primary,,L36#11
Why won't you go?,¿Por qué no irás?,L36-035,sentence,primary,,L36#11
I will find it.,Lo encontraré.,L36-036,sentence,primary,lo before the verb,L36#5
We will find it.,Lo encontraremos.,L36-037,sentence,primary,,L36#5
They will find them.,Los encontrarán.,L36-038,sentence,primary,,L36#5
I will stay here.,Me quedaré aquí.,L36-039,sentence,primary,*me* needed for *stay*,L36#13
I will prepare.,Prepararé.,L36-040,sentence,extended,preparar + -é (NOT preparé),L36#14
I will wait.,Esperaré.,L36-041,sentence,extended,,L36#14
He will organize.,Organizará.,L36-042,sentence,extended,,L36#14
I will be tired (m).,Estaré cansado.,L36-044,sentence,primary,state → estar,L36#16
I will be tired (f).,Estaré cansada.,L36-045,sentence,primary,,L36#16
It will be.,Será.,L36-046,sentence,primary,,L36#17
"Whatever will be, will be. (Que…)","Que será, será.",L36-047,sentence,primary,the song line,L36#17
I'm having breakfast with them tomorrow.,Desayuno con ellos mañana.,L36-048,sentence,primary,future context → present,"L36#1, L36#2"
I'm going to have breakfast with them.,Voy a desayunar con ellos.,L36-049,sentence,primary,*voy a* + infinitive,L36#1
I have slept.,He dormido.,L36-051,sentence,primary,he + past participle,L36#4
We have slept.,Hemos dormido.,L36-052,sentence,primary,,L36#4
They have recommended it.,Lo han recomendado.,L36-054,sentence,primary,"with haber, lo MUST go before",L36#12
He will be tired.,Estará cansado.,L36-068,sentence,extended,,L36#16
We will be sincere.,Seremos sinceros.,L36-070,sentence,extended,ser future for characteristic,"L36#17, L35#2"
Will he eat?,¿Comerá?,L36-071,sentence,extended,,L36#11
We will stay here.,Nos quedaremos aquí.,L36-074,sentence,extended,reflexive *nos* for *stay*,L36#13
We have eaten.,Hemos comido.,L36-076,sentence,extended,-er → -ido,L36#4
I'm going to wait.,Voy a esperar.,L36-077,sentence,extended,voy a + infinitive,L36#1
We will go next week.,Iremos la semana que viene.,L36-080,sentence,extended,,"L36#9, L35#12"
