front,back,id,type,tier,hint,rule_ref
She has time.,Tiene tiempo.,L15-019,sentence,primary,*tiene* + *tiempo* · both have ie,"L15#6, L15#8"
I plan on eating.,Pienso comer.,L15-020,sentence,primary,*pensar* + 'to' form = plan on,L15#11
I plan on eating later.,Pienso comer más tarde.,L15-021,sentence,primary,,L15#11
What do you think?,¿Qué piensas?,L15-022,sentence,primary,*piensas* = you (informal),"L15#9, L15#11"
I understand.,Entiendo.,L15-023,sentence,primary,*entender* → *entiendo* · e→ie,L15#13
They understand.,Entienden.,L15-024,sentence,primary,,L15#13
I lose it.,Lo pierdo.,L15-025,sentence,primary,*lo* before verb · e→ie,L15#15
I lose them.,Los pierdo.,L15-026,sentence,primary,*los* = them (m./mixed),L15#15
You're coming.,Vienes.,L15-028,sentence,primary,*vienes* = you (informal),L15#7
November,noviembre,L15-034,transformation,extended,e→ie also shows up in noun cousins,L15#8
What's happening with the concert?,¿Qué pasa con el concierto?,L15-035,sentence,extended,*con* = with,"L15#1, L15#8"
She loses time.,Pierde tiempo.,L15-036,sentence,extended,double-split: pierde + tiempo,"L15#15, L15#8"
They plan on eating later.,Piensan comer más tarde.,L15-037,sentence,extended,,L15#11
I want to understand.,Quiero entender.,L15-038,sentence,extended,spine: quiero + 'to' form,"L15#5, L15#13"
to start,empezar,L16-001,transformation,primary,more common than *comenzar*,"L16#1, L16#2"
When are you starting?,¿Cuándo empiezas?,L16-003,sentence,primary,*empiezas* = you (informal),L16#2
to sleep,dormir,L16-011,transformation,primary,"cf. dormant volcano, dormitory",L16#9
to find / encounter,encontrar,L16-012,transformation,primary,o→ue when stressed,L16#11
port,puerto,L16-014,transformation,primary,o→ue · Puerto Rico = 'rich port',L16#7
force,fuerza,L16-015,transformation,primary,o→ue · force → *fuerza*,L16#7
school,escuela,L16-016,transformation,primary,o→ue · school → *escuela*,L16#7
the power (noun),el poder,L16-019,transformation,primary,*el* in front = noun,"L16#4, L16#5"
an encounter (noun),un encuentro,L16-020,transformation,primary,*un* in front = noun · same shape as verb form,"L16#11, L16#12"
a sample,una muestra,L16-021,transformation,primary,*una* in front = noun · same shape as verb,L16#13
I'm falling asleep.,Me duermo.,L16-022,sentence,primary,reflexive · literally 'I sleep myself',L16#10
I find it.,Lo encuentro.,L16-023,sentence,primary,*lo* before verb · o→ue,L16#11
I start.,Empiezo.,L16-024,sentence,primary,e→ie,L16#2
She sleeps.,Duerme.,L16-026,sentence,primary,,L16#9
I have to start now.,Tengo que empezar ahora.,L16-027,sentence,primary,spine + 'to' form (no split — stressed elsewhere),"L16#1, L14#12"
to commence,comenzar,L16-028,transformation,extended,less common than *empezar*,L16#1
dead (m.),muerto,L16-034,transformation,extended,adjective matches noun · feminine: *muerta*,L16#8
I can sleep now.,Puedo dormir ahora.,L16-038,sentence,extended,spine: puedo + 'to' form,"L16#6, L16#9"
The school is new.,La escuela es nueva.,L16-039,sentence,extended,*nueva* agrees with feminine *escuela*,"L16#7, L16#8"
I want to find it.,Quiero encontrarlo.,L16-040,sentence,extended,spine: quiero + 'to' form + *lo*,L16#11
to close,cerrar,L17-012,transformation,primary,e→ie when stressed,L17#1
to take / to drink,tomar,L17-014,transformation,primary,two senses · *¿qué tomas?* = what'll you drink?,L17#9
to drink,beber,L17-015,transformation,primary,less used than *tomar*,L17#10
a drink,una bebida,L17-016,transformation,primary,feminine noun,L17#10
What are you drinking?,¿Qué tomas?,L17-017,sentence,primary,*tomar* = take/drink,L17#9
sugar,azúcar,L17-019,transformation,primary,Arabic origin · *l* assimilated to *z*,"L17#8, L17#11"
rice,arroz,L17-020,transformation,primary,*al-ruz* → *arroz* · *l*→*r* giving rr,"L17#8, L17#11"
oil,aceite,L17-021,transformation,primary,Arabic origin,L17#11
pillow,almohada,L17-022,transformation,primary,Arabic origin · silent *h*,L17#11
I think so.,Pienso que sí.,L17-025,sentence,primary,literally 'I think that yes',L17#14
We speak.,Hablamos.,L17-026,sentence,primary,,L17#5
We find it.,Lo encontramos.,L17-027,sentence,primary,no split · *lo* before verb,"L17#5, L17#7"
I don't drink alcohol.,No tomo alcohol.,L17-028,sentence,primary,*tomar* = drink,L17#9
I don't take sugar.,No tomo azúcar.,L17-029,sentence,primary,*tomar* = take,L17#9
olive,aceituna,L17-035,transformation,extended,Arabic origin,L17#11
I want rice.,Quiero arroz.,L17-037,sentence,extended,,L17#8
We hang them.,Los colgamos.,L17-038,sentence,extended,we form: no split,"L17#5, L17#7"
They hang it.,Lo cuelgan.,L17-039,sentence,extended,o→ue in non-we forms,L17#2
