front,back,id,type,tier,hint,rule_ref
I called by phone.,Llamé por teléfono.,L61-041,sentence,primary,por = by,L61#9
We arrived.,Llegamos.,L61-042,sentence,primary,present + point-past identical,L61#8
I was speaking on the phone.,Hablaba por teléfono.,L61-044,sentence,primary,line-past + por,L61#9
"It seemed good to me, but I didn't like it.","Me pareció bien, pero no me gustó.",L61-045,sentence,primary,two points,"L61#18, L61#14"
"It seems good to me, but I don't know.","Me parece bien, pero no sé.",L61-050,sentence,extended,present · pero contrast,L61#17
It didn't seem good to me.,No me pareció bien.,L61-051,sentence,extended,no + point-past,L61#18
It wasn't seeming good to me.,No me parecía bien.,L61-052,sentence,extended,no + line-past,L61#19
I didn't like it when I saw it.,No me gustó cuando lo vi.,L61-053,sentence,extended,two points,"L61#14, L61#20"
She wasn't liking it.,No le gustaba.,L61-054,sentence,extended,line-past · le for she,L61#15
He stayed by phone.,Se quedó por teléfono.,L61-057,sentence,extended,stayed on the line,"L61#9, L61#10"
She seemed fine to me.,Me parecía bien.,L61-060,sentence,extended,same form covers *was seeming*,"L61#19, L61#21"
I gave,di,L62-001,transformation,primary,"dar takes -er/-ir endings in point-past · short, no accent","L62#1, L62#2"
he gave / she gave,dio,L62-002,transformation,primary,one syllable · no accent,L62#2
we gave,dimos,L62-003,transformation,primary,dar borrows -imos,L62#2
I sold,vendí,L62-004,transformation,primary,-er point-past -í (with accent),L62#12
he sold / she sold,vendió,L62-005,transformation,primary,-er point-past -ió,L62#12
we sold,vendimos,L62-006,transformation,primary,-er point-past -imos,L62#12
to send,enviar,L62-007,transformation,primary,cousin of *envoy*,L62#15
he sent / she sent,envió,L62-008,transformation,primary,-ar point-past -ó · accent on final,"L62#15, L61#2"
I gave it.,Lo di.,L62-009,sentence,primary,"build verb first, lo in front","L62#3, L62#4"
He gave me it.,Me lo dio.,L62-010,sentence,primary,indirect-direct-verb,L62#3
He gave us it.,Nos lo dio.,L62-011,sentence,primary,nos + lo + verb,L62#3
He didn't give us it.,No nos lo dio.,L62-012,sentence,primary,no goes first,L62#3
I sold it.,Lo vendí.,L62-016,sentence,primary,lo + point-past,L62#12
We sold it.,Lo vendimos.,L62-017,sentence,primary,lo + we-point-past,L62#12
He sent it to me.,Me lo envió.,L62-018,sentence,primary,me + lo + verb,L62#15
He sent it to us.,Nos lo envió.,L62-019,sentence,primary,nos + lo + verb,L62#15
He sent it to you.,Te lo envió.,L62-020,sentence,primary,te + lo + verb,L62#15
I gave it to him.,Se lo di.,L62-021,sentence,primary,le+lo would crash → se · purely phonetic,"L62#5, L62#6, L62#7"
I gave them (masc) to him.,Se los di.,L62-022,sentence,primary,plural direct → -los · le→se still,"L62#5, L62#13"
I sold it to him.,Se lo vendí.,L62-023,sentence,primary,L-L fix · point-past -í,"L62#5, L62#12"
I gave it to him. (clarified),Se lo di a él.,L62-025,sentence,primary,clarifying *a* tag · always REPEAT the little word,"L62#8, L62#9"
I gave it to her. (clarified),Se lo di a ella.,L62-026,sentence,primary,a ella tagged on,L62#8
I gave it to you-formal. (clarified),Se lo di a usted.,L62-027,sentence,primary,a usted tag,L62#8
I sold them (masc) to her.,Se los vendí a ella.,L62-032,sentence,primary,-los direct + a ella indirect,"L62#13, L62#14"
I sold them (fem) to her.,Se las vendí a ella.,L62-033,sentence,primary,-las for feminine direct,"L62#13, L62#14"
I sold them (fem) to them (masc).,Se las vendí a ellos.,L62-034,sentence,primary,mixed — las direct + ellos indirect,L62#14
I gave him something. (clarified),Le di algo a él.,L62-042,sentence,primary,keep le AND tag a él · always repeat,L62#9
I gave her something. (clarified),Le di algo a ella.,L62-043,sentence,primary,keep le with a ella,L62#9
I gave you-formal something. (clarified),Le di algo a usted.,L62-044,sentence,primary,keep le with a usted,L62#9
I bought it for you-formal.,Lo compré para usted.,L62-045,sentence,primary,"para → no repetition, no extra little word","L62#10, L62#16"
I bought it for you. (Lo…),Lo compré para ti.,L62-046,sentence,primary,para + ti · no le/te repetition,L62#10
She gave them (masc) to me.,Me los dio.,L62-049,sentence,extended,no L-L crash with me · plural direct -los,L62#13
I bought it because of you.,Lo compré por ti.,L62-058,sentence,extended,por = because of,L62#10
to remember,acordarse,L63-001,transformation,primary,-se reflexive · always needs pronoun,"L63#1, L63#4"
I remember,me acuerdo,L63-002,transformation,primary,stressed o → ue,"L63#2, L63#3"
we remember,nos acordamos,L63-003,transformation,primary,stress moves off o → o stays,"L63#2, L63#3"
I don't remember,no me acuerdo,L63-004,transformation,primary,no in front + reflexive,L63#3
we don't remember,no nos acordamos,L63-005,transformation,primary,no + nos + we-form,L63#3
it pleases him/her/you-formal,le gusta,L63-007,transformation,primary,le-group · ambiguous without tag,"L63#7, L63#8"
it pleased him/her/you-formal,le gustó,L63-008,transformation,primary,point-past · same ambiguity,L63#11
I remember.,Me acuerdo.,L63-009,sentence,primary,stressed o → ue,L63#2
I don't remember.,No me acuerdo.,L63-010,sentence,primary,no in front,L63#3
We don't remember.,No nos acordamos.,L63-011,sentence,primary,nos · stress shifts → no ue,L63#3
I don't remember if I gave it to him.,No me acuerdo si se lo di.,L63-012,sentence,primary,si + L-L fix + point-past,"L63#5, L63#3"
I don't remember if I gave it to him or her.,No me acuerdo si se lo di a él o a ella.,L63-013,sentence,primary,a-clarification at end · o = or,"L63#5, L63#6"
We don't remember if we gave it to him.,No nos acordamos si se lo dimos.,L63-014,sentence,primary,we-remember + L-L fix + we-gave,"L63#5, L63#3"
We don't remember if we gave it to them (fem).,No nos acordamos si se lo dimos a ellas.,L63-015,sentence,primary,a ellas clarification,L63#6
He likes it.,Le gusta a él.,L63-017,sentence,primary,a-clarification picks one of le-group,L63#9
She likes it.,Le gusta a ella.,L63-018,sentence,primary,a ella clarifies,L63#9
She likes it. (a-tag at front),A ella le gusta.,L63-019,sentence,primary,clarifier-first variant,L63#9
He liked it.,Le gustó a él.,L63-020,sentence,primary,point-past + clarification,L63#11
She liked it.,Le gustó a ella.,L63-021,sentence,primary,point-past + a ella,L63#11
You-formal liked it.,Le gustó a usted.,L63-022,sentence,primary,a usted picks formal-you from le-group,L63#11
Do you remember?,¿Te acuerdas?,L63-023,sentence,extended,te + stressed o → ue,"L63#2, L63#4"
Don't you remember?,¿No te acuerdas?,L63-024,sentence,extended,no in front of reflexive,"L63#3, L63#4"
He doesn't remember.,No se acuerda.,L63-025,sentence,extended,se for he · stressed o → ue,"L63#2, L63#4"
He doesn't like it.,No le gusta a él.,L63-033,sentence,extended,no in front · clarified,L63#9
She didn't like it.,No le gustó a ella.,L63-034,sentence,extended,no + point-past + a ella,L63#11
